location,time,pm10,pm2_5,carbon_monoxide
Yeshwanthpur,2026-08-22T18:00,6.7,5.4,271.0
Yeshwanthpur,2026-08-22T19:00,5.1,4.1,233.0
Yeshwanthpur,2026-08-22T20:00,4.4,3.5,186.0
Yeshwanthpur,2026-08-22T21:00,4.0,3.2,153.0
Yeshwanthpur,2026-08-22T22:00,4.5,3.3,142.0
Yeshwanthpur,2026-08-22T23:00,3.7,2.9,143.0
Yeshwanthpur,2026-08-23T00:00,3.6,2.9,151.0
Yeshwanthpur,2026-08-23T01:00,3.9,3.4,168.0
Yeshwanthpur,2026-08-23T02:00,4.4,3.1,192.0
Yeshwanthpur,2026-08-23T03:00,5.3,3.4,205.0
Yeshwanthpur,2026-08-23T04:00,6.4,3.7,197.0
Yeshwanthpur,2026-08-23T05:00,7.8,4.4,179.0
Yeshwanthpur,2026-08-23T06:00,15.3,6.3,165.0
Yeshwanthpur,2026-08-23T07:00,8.9,4.7,156.0
Yeshwanthpur,2026-08-23T08:00,9.1,4.7,152.0
Yeshwanthpur,2026-08-23T09:00,9.1,4.7,165.0
Yeshwanthpur,2026-08-23T10:00,13.4,6.2,212.0
Yeshwanthpur,2026-08-23T11:00,12.3,5.9,277.0
Yeshwanthpur,2026-08-23T12:00,11.0,6.5,320.0
Yeshwanthpur,2026-08-23T13:00,9.8,6.7,323.0
Yeshwanthpur,2026-08-23T14:00,10.2,7.8,305.0
Yeshwanthpur,2026-08-23T15:00,10.3,8.1,280.0
Yeshwanthpur,2026-08-23T16:00,9.3,7.5,249.0
Yeshwanthpur,2026-08-23T17:00,8.1,6.6,212.0
Yeshwanthpur,2026-08-23T18:00,6.9,5.6,181.0
Yeshwanthpur,2026-08-23T19:00,5.7,4.5,161.0
Yeshwanthpur,2026-08-23T20:00,4.9,3.8,147.0
Yeshwanthpur,2026-08-23T21:00,4.1,3.1,137.0
Yeshwanthpur,2026-08-23T22:00,3.5,2.8,130.0
Yeshwanthpur,2026-08-23T23:00,3.2,2.3,127.0
Yeshwanthpur,2026-08-24T00:00,2.9,2.2,124.5
Yeshwanthpur,2026-08-24T01:00,3.7,3.0,126.5
